t,x(t),v(t),F(t) (added)
0.02,10,0,-1000
0.04,9.996,-0.2,-999.6
0.06,9.988002,-0.39992,-998.8002
0.08,9.976008,-0.59968,-997.6008
0.09999999,9.960025,-0.7992002,-996.0025
0.12,9.940057,-0.9984007,-994.0057
0.14,9.916113,-1.197202,-991.6113
0.16,9.888203,-1.395524,-988.8203
0.18,9.856337,-1.593288,-985.6337
0.2,9.820528,-1.790415,-982.0528
0.22,9.780791,-1.986825,-978.0791
0.24,9.737143,-2.182441,-973.7142
0.26,9.689599,-2.377184,-968.9599
0.28,9.63818,-2.570976,-963.818
0.3,9.582905,-2.76374,-958.2905
0.32,9.523797,-2.955398,-952.3797
0.34,9.460879,-3.145874,-946.088
0.36,9.394177,-3.335091,-939.4177
0.38,9.323718,-3.522975,-932.3718
0.4,9.249529,-3.709449,-924.9529
0.42,9.17164,-3.89444,-917.1641
0.4400001,9.090083,-4.077872,-909.0083
0.4600001,9.004889,-4.259674,-900.489
0.4800001,8.916094,-4.439772,-891.6094
0.5000001,8.823732,-4.618093,-882.3732
0.52,8.727841,-4.794568,-872.7841
0.54,8.628459,-4.969125,-862.8459
0.56,8.525625,-5.141694,-852.5625
0.58,8.419381,-5.312207,-841.9381
0.6,8.30977,-5.480594,-830.977
0.6199999,8.196834,-5.64679,-819.6833
0.6399999,8.080619,-5.810726,-808.0619
0.6599999,7.961172,-5.972339,-796.1172
0.6799999,7.838541,-6.131562,-783.8541
0.6999999,7.712774,-6.288333,-771.2774
0.7199998,7.583922,-6.442588,-758.3922
0.7399998,7.452037,-6.594267,-745.2037
0.7599998,7.317171,-6.743308,-731.717
0.7799998,7.179378,-6.889651,-717.9377
0.7999998,7.038713,-7.033238,-703.8713
0.8199998,6.895233,-7.174013,-689.5233
0.8399997,6.748994,-7.311917,-674.8994
0.8599997,6.600057,-7.446897,-660.0057
0.8799997,6.448479,-7.578898,-644.8479
0.8999997,6.294322,-7.707868,-629.4321
0.9199997,6.137647,-7.833754,-613.7646
0.9399996,5.978517,-7.956507,-597.8517
0.9599996,5.816995,-8.076077,-581.6995
0.9799996,5.653147,-8.192417,-565.3147
0.9999996,5.487037,-8.30548,-548.7037
1.02,5.318733,-8.415221,-531.8733
1.04,5.148301,-8.521596,-514.8301
1.06,4.97581,-8.624562,-497.581
1.08,4.801328,-8.724078,-480.1328
1.1,4.624926,-8.820105,-462.4926
1.12,4.446674,-8.912603,-444.6674
1.14,4.266643,-9.001537,-426.6643
1.159999,4.084906,-9.08687,-408.4906
1.179999,3.901534,-9.168569,-390.1534
1.199999,3.716602,-9.246599,-371.6602
1.219999,3.530184,-9.320931,-353.0184
1.239999,3.342353,-9.391535,-334.2353
1.259999,3.153185,-9.458382,-315.3185
1.279999,2.962756,-9.521445,-296.2756
1.299999,2.771142,-9.580701,-277.1143
1.319999,2.57842,-9.636124,-257.842
1.339999,2.384666,-9.687692,-238.4666
1.359999,2.189959,-9.735385,-218.9958
1.379999,1.994375,-9.779184,-199.4375
1.399999,1.797993,-9.819072,-179.7993
1.419999,1.600893,-9.855032,-160.0893
1.439999,1.403152,-9.88705,-140.3152
1.459999,1.204849,-9.915112,-120.4849
1.479999,1.006065,-9.93921,-100.6065
1.499999,0.8068786,-9.959332,-80.68787
1.519999,0.6073692,-9.975469,-60.73692
1.539999,0.4076169,-9.987616,-40.7617
1.559999,0.2077016,-9.995768,-20.77016
1.579999,0.007703155,-9.999922,-0.7703155
1.599999,-0.1922984,-10.00008,19.22984
1.619999,-0.392223,-9.99623,39.2223
1.639999,-0.5919906,-9.988385,59.19907
1.659999,-0.7915215,-9.976545,79.15215
1.679999,-0.9907358,-9.960715,99.07359
1.699999,-1.189554,-9.940901,118.9554
1.719999,-1.387896,-9.917109,138.7896
1.739999,-1.585683,-9.889352,158.5683
1.759999,-1.782836,-9.857638,178.2836
1.779999,-1.979275,-9.821981,197.9276
1.799999,-2.174923,-9.782396,217.4923
1.819999,-2.369701,-9.738898,236.9701
1.839999,-2.563531,-9.691504,256.3531
1.859999,-2.756336,-9.640234,275.6336
1.879999,-2.948038,-9.585107,294.8038
1.899999,-3.138561,-9.526146,313.8561
1.919999,-3.327828,-9.463375,332.7828
1.939999,-3.515765,-9.396818,351.5765
1.959999,-3.702295,-9.326503,370.2295
1.979999,-3.887344,-9.252457,388.7344
1.999999,-4.070838,-9.174709,407.0838
2.019999,-4.252704,-9.093292,425.2704
2.039999,-4.432868,-9.008238,443.2868
2.059999,-4.61126,-8.91958,461.126
2.079999,-4.787807,-8.827355,478.7807
2.099999,-4.962439,-8.731599,496.2439
2.119999,-5.135086,-8.63235,513.5086
2.139999,-5.305679,-8.529648,530.5679
2.159999,-5.47415,-8.423534,547.415
2.179999,-5.640431,-8.314052,564.0431
2.199999,-5.804456,-8.201243,580.4456
2.219999,-5.966159,-8.085155,596.6159
2.239999,-6.125475,-7.965831,612.5475
2.259999,-6.282342,-7.843322,628.2342
2.279999,-6.436696,-7.717675,643.6696
2.299999,-6.588474,-7.588941,658.8474
2.319999,-6.737617,-7.457171,673.7617
2.339998,-6.884066,-7.322419,688.4066
2.359998,-7.027761,-7.184738,702.7761
2.379998,-7.168644,-7.044182,716.8644
2.399998,-7.30666,-6.900809,730.666
2.419998,-7.441754,-6.754676,744.1754
2.439998,-7.573871,-6.605841,757.3871
2.459998,-7.702958,-6.454363,770.2958
2.479998,-7.828964,-6.300304,782.8964
2.499998,-7.951838,-6.143725,795.1838
2.519998,-8.071532,-5.984688,807.1532
2.539998,-8.187998,-5.823257,818.7998
2.559998,-8.301188,-5.659497,830.1188
2.579998,-8.411057,-5.493474,841.1057
2.599998,-8.517562,-5.325253,851.7562
2.619998,-8.62066,-5.154902,862.066
2.639998,-8.720309,-4.982488,872.0309
2.659998,-8.816471,-4.808082,881.6471
2.679998,-8.909106,-4.631752,890.9106
2.699998,-8.998178,-4.45357,899.8177
2.719998,-9.08365,-4.273607,908.365
2.739998,-9.165488,-4.091934,916.5488
2.759998,-9.243661,-3.908624,924.3661
2.779998,-9.318136,-3.723751,931.8136
2.799998,-9.388884,-3.537388,938.8884
2.819998,-9.455875,-3.34961,945.5875
2.839998,-9.519085,-3.160493,951.9085
2.859998,-9.578487,-2.970111,957.8488
2.879998,-9.634058,-2.778541,963.4058
2.899998,-9.685775,-2.58586,968.5775
2.919998,-9.733618,-2.392145,973.3618
2.939998,-9.777567,-2.197472,977.7567
2.959998,-9.817605,-2.001921,981.7605
2.979998,-9.853717,-1.805569,985.3717
2.999998,-9.885887,-1.608495,988.5887
3.019998,-9.914103,-1.410777,991.4103
3.039998,-9.938353,-1.212495,993.8353
3.059998,-9.958627,-1.013728,995.8627
3.079998,-9.974917,-0.8145552,997.4918
3.099998,-9.987219,-0.6150568,998.7219
3.119998,-9.995525,-0.4153124,999.5526
3.139998,-9.999833,-0.2154019,999.9833
3.159998,-10.00014,-0.01540527,1000.014
3.179998,-9.996449,0.1845976,999.645
3.199998,-9.988759,0.3845266,998.8759
3.219998,-9.977073,0.5843017,997.7073
3.239998,-9.961396,0.7838432,996.1396
3.259998,-9.941735,0.9830711,994.1735
3.279998,-9.918097,1.181906,991.8098
3.299998,-9.890492,1.380268,989.0493
3.319998,-9.858931,1.578078,985.8931
3.339998,-9.823425,1.775256,982.3425
3.359998,-9.783991,1.971725,978.3991
3.379997,-9.740643,2.167404,974.0643
3.399997,-9.693398,2.362217,969.3398
3.419997,-9.642277,2.556085,964.2277
3.439997,-9.587298,2.748931,958.7299
3.459997,-9.528485,2.940677,952.8485
3.479997,-9.46586,3.131246,946.5861
3.499997,-9.399449,3.320564,939.9449
3.519997,-9.329278,3.508553,932.9278
