t,z(t),v(t),F(t) (added)
0.02,-3.16,0,316
0.04,-3.158736,0.0632,315.8736
0.06,-3.156209,0.1263747,315.6208
0.08,-3.152419,0.1894989,315.2419
0.09999999,-3.147368,0.2525473,314.7368
0.12,-3.141058,0.3154946,314.1058
0.14,-3.133492,0.3783158,313.3492
0.16,-3.124672,0.4409856,312.4672
0.18,-3.114602,0.5034791,311.4602
0.2,-3.103287,0.5657711,310.3287
0.22,-3.09073,0.6278368,309.073
0.24,-3.076937,0.6896514,307.6937
0.26,-3.061913,0.7511902,306.1913
0.28,-3.045665,0.8124285,304.5665
0.3,-3.028198,0.8733417,302.8198
0.32,-3.00952,0.9339057,300.952
0.34,-2.989638,0.9940961,298.9638
0.36,-2.96856,1.053889,296.856
0.38,-2.946295,1.11326,294.6295
0.4,-2.922851,1.172186,292.2851
0.42,-2.898238,1.230643,289.8238
0.4400001,-2.872466,1.288608,287.2466
0.4600001,-2.845545,1.346057,284.5545
0.4800001,-2.817486,1.402968,281.7486
0.5000001,-2.7883,1.459318,278.83
0.52,-2.757998,1.515084,275.7998
0.54,-2.726593,1.570244,272.6593
0.56,-2.694098,1.624775,269.4098
0.58,-2.660524,1.678657,266.0524
0.6,-2.625887,1.731868,262.5887
0.6199999,-2.590199,1.784386,259.0199
0.6399999,-2.553475,1.83619,255.3475
0.6599999,-2.51573,1.887259,251.573
0.6799999,-2.476979,1.937574,247.6979
0.6999999,-2.437237,1.987113,243.7236
0.7199998,-2.396519,2.035858,239.6519
0.7399998,-2.354844,2.083788,235.4844
0.7599998,-2.312226,2.130885,231.2226
0.7799998,-2.268683,2.17713,226.8683
0.7999998,-2.224233,2.222504,222.4233
0.8199998,-2.178893,2.266988,217.8893
0.8399997,-2.132682,2.310566,213.2682
0.8599997,-2.085618,2.35322,208.5618
0.8799997,-2.037719,2.394932,203.7719
0.8999997,-1.989006,2.435686,198.9006
0.9199997,-1.939496,2.475466,193.9496
0.9399996,-1.889211,2.514256,188.9211
0.9599996,-1.83817,2.552041,183.817
0.9799996,-1.786394,2.588804,178.6394
0.9999996,-1.733904,2.624532,173.3904
1.02,-1.68072,2.65921,168.072
1.04,-1.626863,2.692824,162.6863
1.06,-1.572356,2.725362,157.2356
1.08,-1.51722,2.756809,151.722
1.1,-1.461477,2.787153,146.1477
1.12,-1.405149,2.816383,140.5149
1.14,-1.348259,2.844486,134.8259
1.159999,-1.29083,2.871451,129.083
1.179999,-1.232885,2.897268,123.2885
1.199999,-1.174446,2.921925,117.4446
1.219999,-1.115538,2.945414,111.5538
1.239999,-1.056183,2.967725,105.6183
1.259999,-0.9964064,2.988849,99.64064
1.279999,-0.9362308,3.008777,93.62309
1.299999,-0.8756808,3.027502,87.56808
1.319999,-0.8147805,3.045015,81.47805
1.339999,-0.7535543,3.061311,75.35543
1.359999,-0.6920267,3.076382,69.20267
1.379999,-0.6302222,3.090222,63.02222
1.399999,-0.5681657,3.102827,56.81657
1.419999,-0.5058818,3.11419,50.58818
1.439999,-0.4433957,3.124308,44.33957
1.459999,-0.3807322,3.133176,38.07322
1.479999,-0.3179164,3.14079,31.79164
1.499999,-0.2549734,3.147149,25.49734
1.519999,-0.1919284,3.152248,19.19284
1.539999,-0.1288067,3.156087,12.88067
1.559999,-0.06563345,3.158663,6.563345
1.579999,-0.002433941,3.159976,0.2433941
1.599999,0.06076654,3.160024,-6.076654
1.619999,0.1239427,3.158809,-12.39427
1.639999,0.1870693,3.15633,-18.70693
1.659999,0.2501211,3.152589,-25.01211
1.679999,0.3130728,3.147586,-31.30728
1.699999,0.3758993,3.141325,-37.58993
1.719999,0.4385754,3.133807,-43.85754
1.739999,0.5010761,3.125035,-50.10761
1.759999,0.5633764,3.115014,-56.33764
1.779999,0.6254513,3.103746,-62.54513
1.799999,0.687276,3.091237,-68.7276
1.819999,0.7488258,3.077492,-74.88258
1.839999,0.8100762,3.062515,-81.00761
1.859999,0.8710024,3.046314,-87.10024
1.879999,0.9315803,3.028894,-93.15803
1.899999,0.9917855,3.010262,-99.17855
1.919999,1.051594,2.990426,-105.1594
1.939999,1.110982,2.969394,-111.0982
1.959999,1.169925,2.947175,-116.9925
1.979999,1.228401,2.923776,-122.8401
1.999999,1.286385,2.899208,-128.6385
2.019999,1.343855,2.873481,-134.3855
2.039999,1.400787,2.846603,-140.0787
2.059999,1.457159,2.818588,-145.7159
2.079999,1.512947,2.789444,-151.2947
2.099999,1.568131,2.759186,-156.8131
2.119999,1.622688,2.727823,-162.2688
2.139999,1.676595,2.695369,-167.6595
2.159999,1.729832,2.661837,-172.9832
2.179999,1.782377,2.627241,-178.2377
2.199999,1.834208,2.591593,-183.4209
2.219999,1.885307,2.554909,-188.5307
2.239999,1.935651,2.517203,-193.5651
2.259999,1.985221,2.47849,-198.5221
2.279999,2.033996,2.438785,-203.3996
2.299999,2.081959,2.398105,-208.1958
2.319999,2.129088,2.356466,-212.9088
2.339998,2.175366,2.313884,-217.5366
2.359998,2.220773,2.270377,-222.0773
2.379998,2.265292,2.225962,-226.5292
2.399998,2.308906,2.180656,-230.8906
2.419998,2.351595,2.134478,-235.1595
2.439998,2.393344,2.087446,-239.3344
2.459998,2.434136,2.039579,-243.4136
2.479998,2.473954,1.990896,-247.3954
2.499998,2.512782,1.941417,-251.2782
2.519998,2.550605,1.891162,-255.0605
2.539998,2.587408,1.84015,-258.7408
2.559998,2.623176,1.788401,-262.3176
2.579998,2.657895,1.735938,-265.7895
2.599998,2.691551,1.68278,-269.1551
2.619998,2.72413,1.628949,-272.413
2.639998,2.755619,1.574466,-275.5619
2.659998,2.786006,1.519354,-278.6006
2.679998,2.815279,1.463634,-281.5279
2.699998,2.843426,1.407328,-284.3426
2.719998,2.870435,1.35046,-287.0435
2.739998,2.896296,1.293051,-289.6296
2.759998,2.920998,1.235125,-292.0998
2.779998,2.944532,1.176705,-294.4532
2.799998,2.966889,1.117815,-296.6889
2.819998,2.988058,1.058477,-298.8058
2.839998,3.008032,0.9987156,-300.8032
2.859998,3.026803,0.938555,-302.6804
2.879998,3.044364,0.8780189,-304.4364
2.899998,3.060707,0.8171316,-306.0706
2.919998,3.075825,0.7559175,-307.5825
2.939998,3.089713,0.694401,-308.9713
2.959998,3.102365,0.6326067,-310.2365
2.979998,3.113776,0.5705594,-311.3777
2.999998,3.123942,0.5082839,-312.3942
3.019998,3.132858,0.4458051,-313.2858
3.039998,3.140521,0.3831479,-314.0521
3.059998,3.146928,0.3203375,-314.6928
3.079998,3.152076,0.2573989,-315.2076
3.099998,3.155963,0.1943574,-315.5963
3.119998,3.158588,0.1312381,-315.8588
3.139998,3.159949,0.06806637,-315.9949
3.159998,3.160047,0.004867391,-316.0047
3.179998,3.15888,-0.05833354,-315.888
3.199998,3.15645,-0.1215111,-315.645
3.219998,3.152757,-0.1846401,-315.2757
3.239998,3.147803,-0.2476953,-314.7803
3.259998,3.14159,-0.3106513,-314.159
3.279998,3.13412,-0.3734831,-313.412
3.299998,3.125397,-0.4361655,-312.5397
3.319998,3.115424,-0.4986734,-311.5424
3.339998,3.104204,-0.5609819,-310.4204
3.359998,3.091743,-0.623066,-309.1743
3.379997,3.078044,-0.6849009,-307.8044
3.399997,3.063115,-0.7464617,-306.3115
3.419997,3.046961,-0.8077241,-304.696
3.439997,3.029587,-0.8686633,-302.9587
3.459997,3.011002,-0.929255,-301.1002
3.479997,2.991213,-0.9894751,-299.1212
3.499997,2.970227,-1.049299,-297.0226
3.519997,2.948052,-1.108704,-294.8052
3.539997,2.924699,-1.167665,-292.4699
3.559997,2.900176,-1.226159,-290.0176
3.579997,2.874493,-1.284162,-287.4493
3.599997,2.84766,-1.341652,-284.766
3.619997,2.819687,-1.398605,-281.9688
3.639997,2.790587,-1.454999,-279.0587
3.659997,2.760371,-1.510811,-276.0371
3.679997,2.729051,-1.566018,-272.9051
3.699997,2.696639,-1.620599,-269.6639
3.719997,2.663148,-1.674532,-266.3148
3.739997,2.628592,-1.727795,-262.8592
3.759997,2.592985,-1.780367,-259.2985
3.779997,2.55634,-1.832227,-255.634
3.799997,2.518673,-1.883354,-251.8673
3.819997,2.479999,-1.933727,-247.9999
3.839997,2.440332,-1.983327,-244.0332
3.859997,2.399689,-2.032134,-239.9689
3.879997,2.358087,-2.080127,-235.8087
3.899997,2.315541,-2.127289,-231.5541
3.919997,2.272069,-2.1736,-227.2069
3.939997,2.227688,-2.219042,-222.7688
3.959997,2.182416,-2.263595,-218.2416
3.979997,2.136271,-2.307244,-213.6271
3.999997,2.089272,-2.349969,-208.9272
4.019997,2.041437,-2.391754,-204.1437
4.039997,1.992785,-2.432583,-199.2785
4.059997,1.943336,-2.472439,-194.3336
4.079997,1.89311,-2.511306,-189.311
4.099997,1.842127,-2.549168,-184.2127
4.119997,1.790407,-2.58601,-179.0407
4.139997,1.73797,-2.621819,-173.797
4.159997,1.684839,-2.656578,-168.4839
4.179997,1.631033,-2.690275,-163.1033
4.199997,1.576575,-2.722895,-157.6575
4.219997,1.521487,-2.754427,-152.1487
4.239997,1.46579,-2.784857,-146.579
4.259997,1.409506,-2.814173,-140.9506
4.279997,1.352659,-2.842363,-135.2659
4.299997,1.295271,-2.869416,-129.5271
4.319997,1.237364,-2.895321,-123.7364
4.339997,1.178963,-2.920069,-117.8963
4.359997,1.12009,-2.943648,-112.009
4.379997,1.060769,-2.96605,-106.0769
4.399997,1.001024,-2.987265,-100.1024
4.419997,0.9408779,-3.007286,-94.08779
4.439997,0.8803558,-3.026103,-88.03558
4.459997,0.8194816,-3.04371,-81.94816
4.479997,0.7582796,-3.0601,-75.82796
4.499997,0.6967743,-3.075266,-69.67743
4.519997,0.6349903,-3.089201,-63.49903
4.539997,0.5729523,-3.101901,-57.29523
4.559997,0.5106851,-3.11336,-51.06851
4.579997,0.4482136,-3.123574,-44.82136
4.599997,0.3855628,-3.132538,-38.55628
4.619997,0.3227578,-3.140249,-32.27578
4.639997,0.2598237,-3.146704,-25.98237
