t,x(t),v(t),p(t),F(t)
22.60033,-10.01724,-0.8621533,-1.724307,-0.07629565
22.62033,-10.03854,-1.065,-2.13,-0.09416308
22.64033,-10.05984,-1.065,-2.13,-0.0940799
22.66033,-10.08114,-1.065,-2.13,-0.09399686
22.68033,-10.10244,-1.065,-2.13,-0.09391396
22.70033,-10.12374,-1.065,-2.13,-0.09383123
22.72033,-10.14505,-1.065,-2.13,-0.09374862
22.74033,-10.16635,-1.065,-2.13,-0.09366617
22.76033,-10.18765,-1.065,-2.13,-0.09358387
22.78033,-10.20895,-1.065,-2.13,-0.0935017
22.80033,-10.23025,-1.065,-2.13,-0.09341968
22.82033,-10.25155,-1.065,-2.13,-0.0933378
22.84033,-10.27285,-1.065,-2.13,-0.09325607
22.86033,-10.29415,-1.065,-2.13,-0.09317448
22.88033,-10.31545,-1.065,-2.13,-0.09309304
22.90033,-10.33675,-1.065,-2.13,-0.09301173
22.92033,-10.35805,-1.065,-2.13,-0.09293057
22.94033,-10.37935,-1.065,-2.13,-0.09284955
22.96033,-10.40065,-1.065,-2.13,-0.09276867
22.98034,-10.42195,-1.065,-2.13,-0.09268793
23.00034,-10.44325,-1.065,-2.13,-0.09260733
23.02034,-10.46455,-1.065,-2.13,-0.09252687
23.04034,-10.48585,-1.065,-2.13,-0.09244655
23.06034,-10.50715,-1.065,-2.13,-0.09236637
23.08034,-10.52845,-1.065,-2.13,-0.09228633
23.10034,-10.54975,-1.065,-2.13,-0.09220643
23.12034,-10.57105,-1.065,-2.13,-0.09212666
23.14034,-10.59235,-1.065,-2.13,-0.09204704
23.16034,-10.61365,-1.065,-2.13,-0.09196755
23.18034,-10.63495,-1.065,-2.13,-0.0918882
23.20034,-10.65625,-1.065,-2.13,-0.09180898
23.22034,-10.67755,-1.065,-2.13,-0.0917299
23.24034,-10.69885,-1.065,-2.13,-0.09165096
23.26034,-10.72015,-1.065,-2.13,-0.09157216
23.28034,-10.74145,-1.065,-2.13,-0.09149349
23.30034,-10.76275,-1.065,-2.13,-0.09141495
23.32034,-10.78405,-1.065,-2.13,-0.09133655
23.34034,-10.80536,-1.065,-2.13,-0.09125828
23.36034,-10.82666,-1.065,-2.13,-0.09118015
23.38034,-10.84796,-1.065,-2.13,-0.09110215
23.40034,-10.86926,-1.065,-2.13,-0.09102429
23.42035,-10.89056,-1.065,-2.13,-0.09094655
23.44035,-10.91186,-1.065,-2.13,-0.09086895
23.46035,-10.93316,-1.065,-2.13,-0.09079149
23.48035,-10.95446,-1.065,-2.13,-0.09071415
23.50035,-10.97576,-1.065,-2.13,-0.09063695
23.52035,-10.99706,-1.065,-2.13,-0.09055987
23.54035,-11.01836,-1.065,-2.13,-0.09048293
23.56035,-11.03966,-1.065,-2.13,-0.09040612
23.58035,-11.06096,-1.065,-2.13,-0.09032944
23.60035,-11.08226,-1.065,-2.13,-0.09025288
23.62035,-11.10356,-1.065,-2.13,-0.09017646
23.64035,-11.12486,-1.065,-2.13,-0.09010017
23.66035,-11.14616,-1.065,-2.13,-0.09002401
23.68035,-11.16746,-1.065,-2.13,-0.08994798
23.70035,-11.18876,-1.065,-2.13,-0.08987207
23.72035,-11.21006,-1.065,-2.13,-0.08979629
23.74035,-11.23136,-1.065,-2.13,-0.08972064
23.76035,-11.25266,-1.065,-2.13,-0.08964512
23.78035,-11.27396,-1.065,-2.13,-0.08956972
23.80035,-11.29526,-1.065,-2.13,-0.08949445
23.82035,-11.31656,-1.065,-2.13,-0.08941931
23.84035,-11.33786,-1.065,-2.13,-0.08934429
23.86036,-11.35916,-1.065,-2.13,-0.0892694
23.88036,-11.38046,-1.065,-2.13,-0.08919463
23.90036,-11.40176,-1.065,-2.13,-0.08911999
23.92036,-11.42306,-1.065,-2.13,-0.08904548
23.94036,-11.44436,-1.065,-2.13,-0.08897109
23.96036,-11.46566,-1.065,-2.13,-0.08889682
23.98036,-11.48697,-1.065,-2.13,-0.08882268
24.00036,-11.50827,-1.065,-2.13,-0.08874866
24.02036,-11.52957,-1.065,-2.13,-0.08867476
24.04036,-11.55087,-1.065,-2.13,-0.08860099
24.06036,-11.57217,-1.065,-2.13,-0.08852734
24.08036,-11.59347,-1.065,-2.13,-0.08845381
24.10036,-11.61477,-1.065,-2.13,-0.0883804
24.12036,-11.63607,-1.065,-2.13,-0.08830712
24.14036,-11.65737,-1.065,-2.13,-0.08823396
24.16036,-11.67867,-1.065,-2.13,-0.08816092
24.18036,-11.69997,-1.065,-2.13,-0.08808799
24.20036,-11.72127,-1.065,-2.13,-0.08801519
24.22036,-11.74257,-1.065,-2.13,-0.08794251
24.24036,-11.76387,-1.065,-2.13,-0.08786995
24.26036,-11.78517,-1.065,-2.13,-0.08779752
24.28036,-11.80647,-1.065,-2.13,-0.08772519
24.30037,-11.82777,-1.065,-2.13,-0.08765299
24.32037,-11.84907,-1.065,-2.13,-0.0875809
24.34037,-11.87037,-1.065,-2.13,-0.08750894
24.36037,-11.89167,-1.065,-2.13,-0.08743709
24.38037,-11.91297,-1.065,-2.13,-0.08736537
24.40037,-11.93427,-1.065,-2.13,-0.08729375
24.42037,-11.95557,-1.065,-2.13,-0.08722226
24.44037,-11.97687,-1.065,-2.13,-0.08715088
24.46037,-11.99817,-1.065,-2.13,-0.08707962
24.48037,-12.01947,-1.065,-2.13,-0.08700848
24.50037,-12.04077,-1.065,-2.13,-0.08693745
24.52037,-12.06207,-1.065,-2.13,-0.08686654
24.54037,-12.08337,-1.065,-2.13,-0.08679574
24.56037,-12.10467,-1.065,-2.13,-0.08672506
24.58037,-12.12597,-1.065,-2.13,-0.08665449
24.60037,-12.14727,-1.065,-2.13,-0.08658404
24.62037,-12.16858,-1.065,-2.13,-0.08651371
24.64037,-12.18988,-1.065,-2.13,-0.08644348
24.66037,-12.21118,-1.065,-2.13,-0.08637337
24.68037,-12.23248,-1.065,-2.13,-0.08630338
24.70037,-12.25378,-1.065,-2.13,-0.0862335
24.72038,-12.27508,-1.065,-2.13,-0.08616373
24.74038,-12.29638,-1.065,-2.13,-0.08609407
24.76038,-12.31768,-1.065,-2.13,-0.08602453
24.78038,-12.33898,-1.065,-2.13,-0.0859551
24.80038,-12.36028,-1.065,-2.13,-0.08588578
24.82038,-12.38158,-1.065,-2.13,-0.08581657
24.84038,-12.40288,-1.065,-2.13,-0.08574747
24.86038,-12.42418,-1.065,-2.13,-0.08567849
24.88038,-12.44548,-1.065,-2.13,-0.08560961
24.90038,-12.46678,-1.065,-2.13,-0.08554085
24.92038,-12.48808,-1.065,-2.13,-0.0854722
24.94038,-12.50938,-1.065,-2.13,-0.08540366
24.96038,-12.53068,-1.065,-2.13,-0.08533522
24.98038,-12.55198,-1.065,-2.13,-0.0852669
25.00038,-12.57328,-1.065,-2.13,-0.08519869
25.02038,-12.59458,-1.065,-2.13,-0.08513058
25.04038,-12.61588,-1.065,-2.13,-0.08506259
25.06038,-12.63718,-1.065,-2.13,-0.0849947
25.08038,-12.65848,-1.065,-2.13,-0.08492692
25.10038,-12.67978,-1.065,-2.13,-0.08485924
25.12038,-12.70108,-1.065,-2.13,-0.08479168
25.14038,-12.72238,-1.065,-2.13,-0.08472423
25.16039,-12.74368,-1.065,-2.13,-0.08465688
25.18039,-12.76498,-1.065,-2.13,-0.08458964
25.20039,-12.78628,-1.065,-2.13,-0.0845225
25.22039,-12.80758,-1.065,-2.13,-0.08445548
25.24039,-12.82889,-1.065,-2.13,-0.08438855
25.26039,-12.85019,-1.065,-2.13,-0.08432173
25.28039,-12.87149,-1.065,-2.13,-0.08425502
25.30039,-12.89279,-1.065,-2.13,-0.08418842
25.32039,-12.91409,-1.065,-2.13,-0.08412192
25.34039,-12.93539,-1.065,-2.13,-0.08405552
25.36039,-12.95669,-1.065,-2.13,-0.08398923
25.38039,-12.97799,-1.065,-2.13,-0.08392304
25.40039,-12.99929,-1.065,-2.13,-0.08385696
25.42039,-13.02059,-1.065,-2.13,-0.08379099
25.44039,-13.04189,-1.065,-2.13,-0.08372511
25.46039,-13.06319,-1.065,-2.13,-0.08365934
25.48039,-13.08449,-1.065,-2.13,-0.08359367
25.50039,-13.10579,-1.065,-2.13,-0.08352811
25.52039,-13.12709,-1.065,-2.13,-0.08346265
25.54039,-13.14839,-1.065,-2.13,-0.08339729
25.56039,-13.16969,-1.065,-2.13,-0.08333203
25.58039,-13.19099,-1.065,-2.13,-0.08326688
25.6004,-13.21229,-1.065,-2.13,-0.08320183
25.6204,-13.23359,-1.065,-2.13,-0.08313688
25.6404,-13.25489,-1.065,-2.13,-0.08307203
25.6604,-13.27619,-1.065,-2.13,-0.08300728
25.6804,-13.29749,-1.065,-2.13,-0.08294263
25.7004,-13.31879,-1.065,-2.13,-0.08287808
25.7204,-13.34009,-1.065,-2.13,-0.08281364
25.7404,-13.36139,-1.065,-2.13,-0.08274928
25.7604,-13.38269,-1.065,-2.13,-0.08268504
25.7804,-13.40399,-1.065,-2.13,-0.0826209
25.8004,-13.42529,-1.065,-2.13,-0.08255684
25.8204,-13.44659,-1.065,-2.13,-0.0824929
25.8404,-13.46789,-1.065,-2.13,-0.08242905
25.8604,-13.48919,-1.065,-2.13,-0.0823653
25.8804,-13.5105,-1.065,-2.13,-0.08230165
25.9004,-13.5318,-1.065,-2.13,-0.08223809
25.9204,-13.5531,-1.065,-2.13,-0.08217464
25.9404,-13.5744,-1.065,-2.13,-0.08211128
25.9604,-13.5957,-1.065,-2.13,-0.08204802
25.9804,-13.617,-1.065,-2.13,-0.08198486
26.0004,-13.6383,-1.065,-2.13,-0.08192179
26.0204,-13.6596,-1.065,-2.13,-0.08185882
26.04041,-13.6809,-1.065,-2.13,-0.08179595
26.06041,-13.7022,-1.065,-2.13,-0.08173317
26.08041,-13.7235,-1.065,-2.13,-0.08167049
26.10041,-13.7448,-1.065,-2.13,-0.08160791
26.12041,-13.7661,-1.065,-2.13,-0.08154542
26.14041,-13.7874,-1.065,-2.13,-0.08148303
26.16041,-13.8087,-1.065,-2.13,-0.08142073
26.18041,-13.83,-1.065,-2.13,-0.08135854
26.20041,-13.8513,-1.065,-2.13,-0.08129643
