t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),pg(t),F1(t),F2(t)
0.02,0,-4,0,0,0,0,0,0,0
0.04,0.0003999999,-4,0.02,0,0.04,0,0.04,0.9999999,0
0.06,0.0012,-4,0.04,0,0.07999999,0,0.07999999,1.333333,0
0.08,0.0024,-4,0.05999999,0,0.12,0,0.12,1.5,0
0.09999999,0.003999999,-4,0.07999999,0,0.16,0,0.16,1.6,0
0.12,0.005999999,-4,0.09999999,0,0.2,0,0.2,1.666667,0
0.14,0.008399999,-4,0.12,0,0.24,0,0.24,1.714286,0
0.16,0.0112,-4,0.14,0,0.28,0,0.28,1.75,0
0.18,0.0144,-4,0.16,0,0.32,0,0.32,1.777778,0
0.2,0.018,-4,0.18,8.609048E-31,0.36,1.72181E-30,0.36,1.8,8.609049E-30
0.22,0.022,-4,0.2,-1.371291E-29,0.3999999,-2.742583E-29,0.3999999,1.818182,-1.246629E-28
0.24,0.0264,-4,0.22,-4.945523E-29,0.4399999,-9.891047E-29,0.4399999,1.833333,-4.12127E-28
0.26,0.0312,-4,0.24,-8.882924E-29,0.4799999,-1.776585E-28,0.4799999,1.846154,-6.833019E-28
0.28,0.03639999,-4,0.26,-1.746904E-28,0.5199999,-3.493809E-28,0.5199999,1.857143,-1.247789E-27
0.3,0.04199999,-4,0.28,-2.673207E-28,0.5599999,-5.346414E-28,0.5599999,1.866667,-1.782138E-27
0.32,0.04799999,-4,0.3,-4.339753E-28,0.6,-8.679506E-28,0.6,1.875,-2.712345E-27
0.34,0.05439999,-4,0.32,-6.097021E-28,0.64,-1.219404E-27,0.64,1.882353,-3.586483E-27
0.36,0.06119999,-4,0.34,-8.98163E-28,0.68,-1.796326E-27,0.68,1.888889,-4.989794E-27
0.38,0.0684,-4,0.36,-1.202054E-27,0.72,-2.404109E-27,0.72,1.894737,-6.326602E-27
0.4,0.076,-4,0.38,-1.659465E-27,0.7600001,-3.318931E-27,0.7600001,1.9,-8.297326E-27
0.42,0.084,-4,0.4,-2.130273E-27,0.8000001,-4.260547E-27,0.8000001,1.904762,-1.014416E-26
0.4400001,0.0924,-4,0.42,0,0.8400001,0,0.8400001,1.909091,0
0.4600001,0.1012,-4,0.4400001,0,0.8800001,0,0.8800001,1.913043,0
0.4800001,0.1104,-4,0.4600001,0,0.9200001,0,0.9200001,1.916667,0
0.5000001,0.12,-4,0.4800001,0,0.9600002,0,0.9600002,1.92,0
0.52,0.13,-4,0.5000001,0,1,0,1,1.923077,0
0.54,0.1404,-4,0.52,0,1.04,0,1.04,1.925926,0
0.56,0.1512,-4,0.54,0,1.08,0,1.08,1.928571,0
0.58,0.1624,-4,0.56,0,1.12,0,1.12,1.931035,0
0.6,0.174,-4,0.58,0,1.16,0,1.16,1.933333,0
0.6199999,0.186,-4,0.6,0,1.2,0,1.2,1.935484,0
0.6399999,0.1984,-4,0.6199999,0,1.24,0,1.24,1.9375,0
0.6599999,0.2112,-4,0.6399999,0,1.28,0,1.28,1.939394,0
0.6799999,0.2244,-4,0.6599999,0,1.32,0,1.32,1.941177,0
0.6999999,0.238,-4,0.6799999,0,1.36,0,1.36,1.942857,0
0.7199998,0.252,-4,0.6999999,0,1.4,0,1.4,1.944445,0
0.7399998,0.2664,-4,0.7199998,0,1.44,0,1.44,1.945946,0
0.7599998,0.2812,-4,0.7399998,0,1.48,0,1.48,1.947369,0
0.7799998,0.2964,-4,0.7599998,0,1.52,0,1.52,1.948718,0
0.7999998,0.3119999,-4,0.7799998,0,1.56,0,1.56,1.95,0
0.8199998,0.3279999,-4,0.7999998,0,1.6,0,1.6,1.95122,0
0.8399997,0.3443999,-4,0.8199998,0,1.64,0,1.64,1.952381,0
0.8599997,0.3611999,-4,0.8399997,0,1.679999,0,1.679999,1.953488,0
0.8799997,0.3783999,-4,0.8599997,0,1.719999,0,1.719999,1.954545,0
0.8999997,0.3959999,-4,0.8799997,0,1.759999,0,1.759999,1.955556,0
0.9199997,0.4139999,-4,0.8999997,0,1.799999,0,1.799999,1.956522,0
0.9399996,0.4323999,-4,0.9199997,0,1.839999,0,1.839999,1.957447,0
0.9599996,0.4511999,-4,0.9399996,0,1.879999,0,1.879999,1.958333,0
0.9799996,0.4703999,-4,0.9599996,0,1.919999,0,1.919999,1.959184,0
0.9999996,0.4899999,-4,0.9799996,0,1.959999,0,1.959999,1.96,0
1.02,0.5099999,-4,0.9999996,0,1.999999,0,1.999999,1.960784,0
1.04,0.5303999,-4,1.02,0,2.039999,0,2.039999,1.961538,0
1.06,0.5511999,-4,1.04,0,2.079999,0,2.079999,1.962264,0
1.08,0.5723999,-4,1.06,0,2.119999,0,2.119999,1.962963,0
1.1,0.5939999,-4,1.08,0,2.159999,0,2.159999,1.963636,0
1.12,0.6159999,-4,1.1,0,2.199999,0,2.199999,1.964286,0
1.14,0.6383998,-4,1.12,0,2.239999,0,2.239999,1.964912,0
1.159999,0.6611998,-4,1.14,0,2.279999,0,2.279999,1.965517,0
1.179999,0.6843998,-4,1.159999,0,2.319999,0,2.319999,1.966102,0
1.199999,0.7079998,-4,1.179999,0,2.359999,0,2.359999,1.966667,0
1.219999,0.7319998,-4,1.199999,0,2.399999,0,2.399999,1.967213,0
1.239999,0.7563998,-4,1.219999,0,2.439999,0,2.439999,1.967742,0
1.259999,0.7811998,-4,1.239999,0,2.479999,0,2.479999,1.968254,0
1.279999,0.8063998,-4,1.259999,0,2.519999,0,2.519999,1.96875,0
1.299999,0.8319998,-4,1.279999,0,2.559999,0,2.559999,1.969231,0
1.319999,0.8579997,-4,1.299999,0,2.599999,0,2.599999,1.969697,0
1.339999,0.8843997,-4,1.319999,0,2.639999,0,2.639999,1.970149,0
1.359999,0.9111997,-4,1.339999,0,2.679999,0,2.679999,1.970588,0
1.379999,0.9383997,-4,1.359999,0,2.719999,0,2.719999,1.971014,0
1.399999,0.9659997,-4,1.379999,0,2.759999,0,2.759999,1.971429,0
1.419999,0.9939997,-4,1.399999,0,2.799999,0,2.799999,1.971831,0
1.439999,1.0224,-4,1.419999,0,2.839998,0,2.839998,1.972222,0
1.459999,1.0512,-4,1.439999,0,2.879998,0,2.879998,1.972603,0
1.479999,1.0804,-4,1.459999,0,2.919998,0,2.919998,1.972973,0
1.499999,1.11,-4,1.479999,0,2.959998,0,2.959998,1.973333,0
1.519999,1.14,-4,1.499999,0,2.999998,0,2.999998,1.973684,0
1.539999,1.1704,-4,1.519999,0,3.039998,0,3.039998,1.974026,0
1.559999,1.2012,-4,1.539999,0,3.079998,0,3.079998,1.974359,0
1.579999,1.2324,-4,1.559999,0,3.119998,0,3.119998,1.974684,0
1.599999,1.264,-4,1.579999,0,3.159998,0,3.159998,1.975,0
1.619999,1.296,-4,1.599999,0,3.199998,0,3.199998,1.975309,0
1.639999,1.3284,-4,1.619999,0,3.239998,0,3.239998,1.97561,0
1.659999,1.361199,-4,1.639999,0,3.279998,0,3.279998,1.975904,0
1.679999,1.3944,-4,1.659999,0,3.319998,0,3.319998,1.97619,0
1.699999,1.427999,-4,1.679999,0,3.359998,0,3.359998,1.976471,0
1.719999,1.461999,-4,1.699999,0,3.399998,0,3.399998,1.976744,0
1.739999,1.496399,-4,1.719999,0,3.439998,0,3.439998,1.977012,0
1.759999,1.531199,-4,1.739999,0,3.479998,0,3.479998,1.977273,0
1.779999,1.566399,-4,1.759999,0,3.519998,0,3.519998,1.977528,0
1.799999,1.601999,-4,1.779999,0,3.559998,0,3.559998,1.977778,0
1.819999,1.637999,-4,1.799999,0,3.599998,0,3.599998,1.978022,0
1.839999,1.674399,-4,1.819999,0,3.639998,0,3.639998,1.978261,0
1.859999,1.711199,-4,1.839999,0,3.679998,0,3.679998,1.978495,0
1.879999,1.748399,-4,1.859999,0,3.719998,0,3.719998,1.978723,0
1.899999,1.785999,-4,1.879999,0,3.759998,0,3.759998,1.978947,0
1.919999,1.823999,-4,1.899999,0,3.799998,0,3.799998,1.979167,0
1.939999,1.862399,-4,1.919999,0,3.839998,0,3.839998,1.979381,0
1.959999,1.901199,-4,1.939999,0,3.879997,0,3.879997,1.979592,0
1.979999,1.940399,-4,1.959999,0,3.919997,0,3.919997,1.979798,0
1.999999,1.979999,-4,1.979999,0,3.959997,0,3.959997,1.98,0
2.019999,2.019999,-4,1.999999,0,3.999997,0,3.999997,1.980198,0
2.039999,2.060399,-4,2.019999,0,4.039998,0,4.039998,1.980392,0
2.059999,2.100799,-4,2.019999,0,4.039998,0,4.039998,1.961165,0
2.079999,2.141199,-4,2.019999,0,4.039998,0,4.039998,1.942308,0
2.099999,2.181599,-4,2.019999,0,4.039998,0,4.039998,1.92381,0
2.119999,2.221999,-4,2.019999,0,4.039998,0,4.039998,1.90566,0
2.139999,2.262399,-4,2.019999,0,4.039998,0,4.039998,1.887851,0
2.159999,2.302799,-4,2.019999,0,4.039998,0,4.039998,1.87037,0
2.179999,2.343199,-4,2.019999,0,4.039998,0,4.039998,1.853211,0
2.199999,2.383599,-4,2.019999,0,4.039998,0,4.039998,1.836364,0
2.219999,2.423999,-4,2.019999,0,4.039998,0,4.039998,1.81982,0
2.239999,2.464399,-4,2.019999,0,4.039998,0,4.039998,1.803571,0
2.259999,2.504799,-4,2.019999,0,4.039998,0,4.039998,1.787611,0
2.279999,2.545199,-4,2.019999,0,4.039998,0,4.039998,1.77193,0
2.299999,2.585599,-4,2.019999,0,4.039998,0,4.039998,1.756522,0
2.319999,2.625999,-4,2.019999,0,4.039998,0,4.039998,1.741379,0
2.339998,2.666399,-4,2.019999,0,4.039998,0,4.039998,1.726496,0
2.359998,2.7068,-4,2.019999,0,4.039998,0,4.039998,1.711864,0
2.379998,2.7472,-4,2.019999,0,4.039998,0,4.039998,1.697479,0
2.399998,2.7876,-4,2.019999,0,4.039998,0,4.039998,1.683333,0
2.419998,2.828,-4,2.019999,0,4.039998,0,4.039998,1.669422,0
2.439998,2.8684,-4,2.019999,0,4.039998,0,4.039998,1.655738,0
2.459998,2.9088,-4,2.019999,0,4.039998,0,4.039998,1.642277,0
2.479998,2.9492,-4,2.019999,0,4.039998,0,4.039998,1.629032,0
2.499998,2.9896,-4,2.019999,0,4.039998,0,4.039998,1.616,0
2.519998,3.03,-4,2.019999,0,4.039998,0,4.039998,1.603175,0
2.539998,3.0704,-4,2.019999,0,4.039998,0,4.039998,1.590551,0
2.559998,3.1108,-4,2.019999,0,4.039998,0,4.039998,1.578125,0
2.579998,3.1512,-4,2.019999,0,4.039998,0,4.039998,1.565892,0
2.599998,3.1916,-4,2.019999,0,4.039998,0,4.039998,1.553846,0
2.619998,3.232,-4,2.019999,0,4.039998,0,4.039998,1.541985,0
2.639998,3.2724,-4,2.019999,0,4.039998,0,4.039998,1.530303,0
2.659998,3.3128,-4,2.019999,0,4.039998,0,4.039998,1.518797,0
2.679998,3.3532,-4,2.019999,0,4.039998,0,4.039998,1.507463,0
2.699998,3.3936,-4,2.019999,0,4.039998,0,4.039998,1.496296,0
2.719998,3.434,-4,2.019999,0,4.039998,0,4.039998,1.485294,0
2.739998,3.4744,-4,2.019999,0,4.039998,0,4.039998,1.474453,0
2.759998,3.5148,-4,2.019999,0,4.039998,0,4.039998,1.463768,0
2.779998,3.5552,-4,2.019999,0,4.039998,0,4.039998,1.453238,0
2.799998,3.5956,-4,2.019999,0,4.039998,0,4.039998,1.442857,0
2.819998,3.636,-4,2.019999,0,4.039998,0,4.039998,1.432624,0
2.839998,3.6764,-4,2.019999,0,4.039998,0,4.039998,1.422535,0
2.859998,3.7168,-4,2.019999,0,4.039998,0,4.039998,1.412588,0
2.879998,3.7572,-4,2.019999,0,4.039998,0,4.039998,1.402778,0
2.899998,3.7976,-4,2.019999,0,4.039998,0,4.039998,1.393104,0
2.919998,3.838,-4,2.019999,0,4.039998,0,4.039998,1.383562,0
2.939998,3.8784,-4,2.019999,0,4.039998,0,4.039998,1.37415,0
2.959998,3.9188,-4,2.019999,0,4.039998,0,4.039998,1.364865,0
2.979998,3.9592,-4,2.019999,0,4.039998,0,4.039998,1.355705,0
2.999998,3.9996,-4,2.019999,0,4.039998,0,4.039998,1.346667,0
3.019998,4.04,-4,2.019999,0,4.039998,0,4.039998,1.337749,0
3.039998,4.0804,-4,2.019999,0,4.039998,0,4.039998,1.328948,0
3.059998,4.1208,-4,2.019999,0,4.039998,0,4.039998,1.320262,0
3.079998,4.161201,-4,2.019999,0,4.039998,0,4.039998,1.311688,0
3.099998,4.201601,-4,2.019999,0,4.039998,0,4.039998,1.303226,0
3.119998,4.242001,-4,2.019999,0,4.039998,0,4.039998,1.294872,0
3.139998,4.282401,-4,2.019999,0,4.039998,0,4.039998,1.286624,0
3.159998,4.322801,-4,2.019999,0,4.039998,0,4.039998,1.278481,0
3.179998,4.363201,-4,2.019999,0,4.039998,0,4.039998,1.27044,0
3.199998,4.403601,-4,2.019999,0,4.039998,0,4.039998,1.2625,0
3.219998,4.444001,-4,2.019999,0,4.039998,0,4.039998,1.254659,0
3.239998,4.484401,-4,2.019999,0,4.039998,0,4.039998,1.246914,0
3.259998,4.524801,-4,2.019999,0,4.039998,0,4.039998,1.239264,0
3.279998,4.565201,-4,2.019999,0,4.039998,0,4.039998,1.231707,0
3.299998,4.605601,-4,2.019999,0,4.039998,0,4.039998,1.224243,0
3.319998,4.646001,-4,2.019999,0,4.039998,0,4.039998,1.216868,0
3.339998,4.686401,-4,2.019999,0,4.039998,0,4.039998,1.209581,0
3.359998,4.726801,-4,2.019999,0,4.039998,0,4.039998,1.202381,0
3.379997,4.767201,-4,2.019999,0,4.039998,0,4.039998,1.195266,0
3.399997,4.807601,-4,2.019999,0,4.039998,0,4.039998,1.188236,0
3.419997,4.848001,-4,2.019999,0,4.039998,0,4.039998,1.181287,0
3.439997,4.888401,-4,2.019999,0,4.039998,0,4.039998,1.174419,0
3.459997,4.928801,-4,2.019999,0,4.039998,0,4.039998,1.16763,0
3.479997,4.969201,-4,2.019999,0,4.039998,0,4.039998,1.16092,0
3.499997,5.009601,-4,2.019999,0,4.039998,0,4.039998,1.154286,0
