t,x1(t),x2(t),v1(t),v2(t),p1(t),p2(t),F1(t),F2(t)
0.02,0,-10,0,0,0,0,0,0
0.04,0.0003999999,-10,0.02,0,0.04,0,0.9999999,0
0.06,0.0012,-10,0.04,0,0.07999999,0,1.333333,0
0.08,0.0024,-10,0.05999999,0,0.12,0,1.5,0
0.09999999,0.003999999,-10,0.07999999,0,0.16,0,1.6,0
0.12,0.005999999,-10,0.09999999,0,0.2,0,1.666667,0
0.14,0.008399999,-10,0.12,0,0.24,0,1.714286,0
0.16,0.0112,-10,0.14,0,0.28,0,1.75,0
0.18,0.0144,-10,0.16,0,0.32,0,1.777778,0
0.2,0.018,-10,0.18,0,0.36,0,1.8,0
0.22,0.022,-10,0.2,0,0.3999999,0,1.818182,0
0.24,0.0264,-10,0.22,0,0.4399999,0,1.833333,0
0.26,0.0312,-10,0.24,0,0.4799999,0,1.846154,0
0.28,0.03639999,-10,0.26,0,0.5199999,0,1.857143,0
0.3,0.04199999,-10,0.28,0,0.5599999,0,1.866667,0
0.32,0.04799999,-10,0.3,0,0.6,0,1.875,0
0.34,0.05439999,-10,0.32,0,0.64,0,1.882353,0
0.36,0.06119999,-10,0.34,0,0.68,0,1.888889,0
0.38,0.0684,-10,0.36,0,0.72,0,1.894737,0
0.4,0.076,-10,0.38,0,0.7600001,0,1.9,0
0.42,0.084,-10,0.4,0,0.8000001,0,1.904762,0
0.4400001,0.0924,-10,0.42,0,0.8400001,0,1.909091,0
0.4600001,0.1012,-10,0.4400001,0,0.8800001,0,1.913043,0
0.4800001,0.1104,-10,0.4600001,0,0.9200001,0,1.916667,0
0.5000001,0.12,-10,0.4800001,0,0.9600002,0,1.92,0
0.52,0.13,-10,0.5000001,0,1,0,1.923077,0
0.54,0.1404,-10,0.52,0,1.04,0,1.925926,0
0.56,0.1512,-10,0.54,0,1.08,0,1.928571,0
0.58,0.1624,-10,0.56,0,1.12,0,1.931035,0
0.6,0.174,-10,0.58,0,1.16,0,1.933333,0
0.6199999,0.186,-10,0.6,0,1.2,0,1.935484,0
0.6399999,0.1984,-10,0.6199999,0,1.24,0,1.9375,0
0.6599999,0.2112,-10,0.6399999,0,1.28,0,1.939394,0
0.6799999,0.2244,-10,0.6599999,0,1.32,0,1.941177,0
0.6999999,0.238,-10,0.6799999,0,1.36,0,1.942857,0
0.7199998,0.252,-10,0.6999999,0,1.4,0,1.944445,0
0.7399998,0.2664,-10,0.7199998,0,1.44,0,1.945946,0
0.7599998,0.2812,-10,0.7399998,0,1.48,0,1.947369,0
0.7799998,0.2964,-10,0.7599998,0,1.52,0,1.948718,0
0.7999998,0.3119999,-10,0.7799998,0,1.56,0,1.95,0
0.8199998,0.3279999,-10,0.7999998,0,1.6,0,1.95122,0
0.8399997,0.3443999,-10,0.8199998,0,1.64,0,1.952381,0
0.8599997,0.3611999,-10,0.8399997,0,1.679999,0,1.953488,0
0.8799997,0.3783999,-10,0.8599997,0,1.719999,0,1.954545,0
0.8999997,0.3959999,-10,0.8799997,0,1.759999,0,1.955556,0
0.9199997,0.4139999,-10,0.8999997,0,1.799999,0,1.956522,0
0.9399996,0.4323999,-10,0.9199997,0,1.839999,0,1.957447,0
0.9599996,0.4511999,-10,0.9399996,0,1.879999,0,1.958333,0
0.9799996,0.4703999,-10,0.9599996,0,1.919999,0,1.959184,0
0.9999996,0.4899999,-10,0.9799996,0,1.959999,0,1.96,0
1.02,0.5099999,-10,0.9999996,0,1.999999,0,1.960784,0
1.04,0.5303999,-10,1.02,0,2.039999,0,1.961538,0
1.06,0.5511999,-10,1.04,0,2.079999,0,1.962264,0
1.08,0.5723999,-10,1.06,0,2.119999,0,1.962963,0
1.1,0.5939999,-10,1.08,0,2.159999,0,1.963636,0
1.12,0.6159999,-10,1.1,0,2.199999,0,1.964286,0
1.14,0.6383998,-10,1.12,0,2.239999,0,1.964912,0
1.159999,0.6611998,-10,1.14,0,2.279999,0,1.965517,0
1.179999,0.6843998,-10,1.159999,0,2.319999,0,1.966102,0
1.199999,0.7079998,-10,1.179999,0,2.359999,0,1.966667,0
1.219999,0.7319998,-10,1.199999,0,2.399999,0,1.967213,0
1.239999,0.7563998,-10,1.219999,0,2.439999,0,1.967742,0
1.259999,0.7811998,-10,1.239999,0,2.479999,0,1.968254,0
1.279999,0.8063998,-10,1.259999,0,2.519999,0,1.96875,0
1.299999,0.8319998,-10,1.279999,0,2.559999,0,1.969231,0
1.319999,0.8579997,-10,1.299999,0,2.599999,0,1.969697,0
1.339999,0.8843997,-10,1.319999,0,2.639999,0,1.970149,0
1.359999,0.9111997,-10,1.339999,0,2.679999,0,1.970588,0
1.379999,0.9383997,-10,1.359999,0,2.719999,0,1.971014,0
1.399999,0.9659997,-10,1.379999,0,2.759999,0,1.971429,0
1.419999,0.9939997,-10,1.399999,0,2.799999,0,1.971831,0
1.439999,1.0224,-10,1.419999,0,2.839998,0,1.972222,0
1.459999,1.0512,-10,1.439999,0,2.879998,0,1.972603,0
1.479999,1.0804,-10,1.459999,0,2.919998,0,1.972973,0
1.499999,1.11,-10,1.479999,0,2.959998,0,1.973333,0
1.519999,1.14,-10,1.499999,0,2.999998,0,1.973684,0
